object,label,edge_index,radius_mm,center_x_mm,center_y_mm,center_z_mm,axis_x,axis_y,axis_z,bbox_xmin_mm,bbox_ymin_mm,bbox_zmin_mm,bbox_xmax_mm,bbox_ymax_mm,bbox_zmax_mm,bbox_xlen_mm,bbox_ylen_mm,bbox_zlen_mm
全倾转无人机总体装配模型,全倾转无人机总体装配模型173,7828,8.024999999999988,-245.96725366510785,228.40767559740462,836.1771151037839,-0.9884519687385896,0.15066109701812766,0.01624621008422348,-247.1534694327052,220.90410088247182,828.153174230285,-244.75118928125096,236.34107400369356,838.7635960432312,2.4022801514542493,15.43697312122174,10.610421812946242
全倾转无人机总体装配模型,全倾转无人机总体装配模型173,7836,7.024999999999989,-254.23120972175585,176.1829361081565,817.6935986854911,-0.9884519687385896,0.15066109701812763,0.016246210084223466,-255.29573960295144,169.2381231730562,815.4294206668471,-253.19280900308027,182.75148593649328,824.7176715373702,2.102930599871172,13.513362763437073,9.28825087052303
全倾转无人机总体装配模型,全倾转无人机总体装配模型173,7837,7.024999999999999,-254.23120972175585,176.1829361081565,817.6935986854911,-0.9884519687385896,0.15066109701812766,0.01624621008422348,-255.2696104404314,169.61438627981974,810.6695258336119,-253.16667984056025,183.12774904325678,819.9577767041352,2.1029305998711436,13.513362763437044,9.288250870523257
全倾转无人机总体装配模型,全倾转无人机总体装配模型173,7838,6.6499999999999995,-227.75636628221974,343.223399677241,879.4071692304208,0.9884519687385896,-0.15066109701812763,-0.01624621008422347,-228.73933635754963,337.00548418137765,872.7580468866491,-226.74866183952213,349.79749306064554,881.5504836537634,1.9906745180275038,12.792008879267883,8.792436767114282
全倾转无人机总体装配模型,全倾转无人机总体装配模型173,7839,6.6499999999999995,-227.75636628221974,343.223399677241,879.4071692304208,0.9884519687385896,-0.15066109701812763,-0.01624621008422347,-228.76407072491736,336.64930629383645,877.2638548070781,-226.77339620688986,349.44131517310433,886.0562915741924,1.9906745180275038,12.792008879267883,8.792436767114282
全倾转无人机总体装配模型,全倾转无人机总体装配模型173,7840,8.99999999999998,-251.10824591181802,196.14905255865656,822.5428969649026,-0.9884519687385896,0.15066109701812763,0.016246210084223466,-252.47205643576967,187.25178331795868,819.642170677672,-249.77791047152192,204.56427653802044,831.5417091594809,2.6941459642477525,17.312493220061754,11.899538481808918
全倾转无人机总体装配模型,全倾转无人机总体装配模型173,7841,8.99999999999998,-251.10824591181802,196.14905255865656,822.5428969649026,-0.9884519687385896,0.15066109701812763,0.016246210084223466,-252.4385813521141,187.7338285792927,813.5440847703244,-249.74443538786636,205.04632179935444,825.4436232521333,2.6941459642477525,17.312493220061754,11.899538481808918
全倾转无人机总体装配模型,全倾转无人机总体装配模型173,7869,10.000000000000012,-182.6475875408975,334.0679037135759,877.3905893668135,-0.9884519687385896,0.15066109701812763,0.016246210084223472,-184.16293256751047,324.18204900168934,874.7485788060369,-184.09910460855232,324.5399090476824,879.2306659625824,0.06382795895814297,0.3578600459930499,4.482087156545504
全倾转无人机总体装配模型,全倾转无人机总体装配模型173,7871,10.000000000000012,-185.5212974223397,316.28700419822775,867.4415389663955,0.9884519687385896,-0.15066109701812763,-0.016246210084223472,-184.18035066437196,325.48286345956035,863.7485680434041,-184.00595239572672,326.1728589101143,870.0835495271722,0.1743982686452341,0.6899954505539654,6.334981483768047
全倾转无人机总体装配模型,全倾转无人机总体装配模型173,7873,4.999999999999998,-185.58135961046253,317.12914816800577,855.9775161903134,0.9884519687385896,-0.15066109701812766,-0.016246210084223486,-185.24959598354286,319.76268725921693,851.7402523619785,-184.91088623147866,321.7270777986721,854.1310307288178,0.3387097520642044,1.9643905394551666,2.3907783668392995
