object,label,type,solids,faces,edges,xmin_mm,ymin_mm,zmin_mm,xmax_mm,ymax_mm,zmax_mm,xlen_mm,ylen_mm,zlen_mm
Part__Feature078,全倾转无人机总体装配模型078,Part::Feature,0,12,36,205.9170059782317,413.50882208916045,38.22893471053717,791.5575043326371,570.3299062320779,224.0423324441126,585.6404983544054,156.8210841429174,185.8133977335754
Part__Feature079,全倾转无人机总体装配模型079,Part::Feature,0,12,1088,413.48142881060636,77.25750541641438,209.93801756415672,467.87784912772014,160.41361847419367,255.28640750216246,54.39642031711378,83.1561130577793,45.34838993800574
Part__Feature080,全倾转无人机总体装配模型080,Part::Feature,0,1,4,412.53733591050513,85.70543346113391,211.17473443081877,423.84737745021124,159.4468731149672,253.31048807451222,11.310041539706106,73.74143965383328,42.13575364369345
Part__Feature081,全倾转无人机总体装配模型081,Part::Feature,0,1,4,431.2155558821675,86.51738460394093,226.16587167289816,432.5702387248432,88.63298168717643,230.24227816521338,1.354682842675686,2.1155970832354996,4.076406492315215
Part__Feature082,全倾转无人机总体装配模型082,Part::Feature,0,1,4,423.01219390020805,173.13729624650048,112.11630057350135,513.0839307936452,437.80219491369667,201.56191429186424,90.07173689343716,264.6648986671962,89.44561371836289
Part__Feature083,全倾转无人机总体装配模型083,Part::Feature,0,1,4,424.68058894158025,189.1864157920518,159.4411589441138,514.7523258350174,453.851314459248,248.8867726624767,90.0717368934371,264.6648986671962,89.44561371836289
Part__Feature084,全倾转无人机总体装配模型084,Part::Feature,0,18,139,398.63944681806305,67.2701885246611,104.8308005737501,524.416362389953,467.558303466201,315.00582457470335,125.7769155718899,400.2881149415399,210.17502400095327
Part__Feature085,全倾转无人机总体装配模型085,Part::Feature,0,2,8,432.3472534634501,276.31908001208393,180.71371514476402,468.2261816302804,429.1813211104299,235.79264675028628,35.87892816683029,152.86224109834598,55.07893160552226
Part__Feature086,全倾转无人机总体装配模型086,Part::Feature,0,1,4,479.792947962907,270.0095244190024,233.31632128971142,492.4631262853482,281.08773591521356,236.5724648366035,12.670178322441188,11.078211496211168,3.2561435468920763
Part__Feature087,全倾转无人机总体装配模型087,Part::Feature,0,59,280,390.0117155549328,63.443010169705495,85.61440146695736,535.2730735730959,473.0493370413666,305.1361129471628,145.2613580181631,409.6063268716611,219.52171148020545
Part__Feature088,全倾转无人机总体装配模型088,Part::Feature,0,1,8,394.2818881965561,107.46696849102584,280.14701547389814,395.19109521252017,113.39848131816304,286.1462236036124,0.9092070159640571,5.9315128271371975,5.999208129714248
Part__Feature089,全倾转无人机总体装配模型089,Part::Feature,0,1,4,392.8418965823353,92.70948055483005,236.8533844118189,395.04718815687903,94.58348139273812,237.57473165736016,2.2052915745437076,1.8740008379080706,0.7213472455412671
Part__Feature090,全倾转无人机总体装配模型090,Part::Feature,0,1,8,446.5659860156335,432.7019325565671,115.18159102219272,447.47519303159754,438.6334453837042,121.18079915190688,0.9092070159640571,5.931512827137112,5.999208129714162
Part__Feature091,全倾转无人机总体装配模型091,Part::Feature,0,2,6,448.23438105700546,448.1484077140688,162.5064493928051,453.0973959479243,454.6825649292555,168.57064236304575,4.863014890918862,6.534157215186667,6.06419297024064
Part__Feature092,全倾转无人机总体装配模型092,Part::Feature,0,2,7,471.89303013433397,80.34635500379478,236.79856248631836,474.1809601356337,82.89936597011008,238.78890077905575,2.287930001299742,2.5530109663152984,1.9903382927373912
Part__Feature093,全倾转无人机总体装配模型093,Part::Feature,0,1,8,527.6190474522026,420.3477226015515,116.5137802529844,528.5282544681667,426.2792354286886,122.5129883826986,0.9092070159640571,5.931512827137112,5.999208129714191
Part__Feature094,全倾转无人机总体装配模型094,Part::Feature,0,3,12,525.3336346186231,436.3968421471022,163.77365378307064,530.196649509542,442.93099936228884,169.83784675331128,4.863014890918862,6.534157215186667,6.06419297024064
Part__Feature095,全倾转无人机总体装配模型095,Part::Feature,0,2,11,-220.4837189516923,94.11508143160921,229.59345650980273,-176.1818995756314,362.2577303544928,326.42562245574925,44.301819376060905,268.1426489228836,96.83216594594651
Part__Feature096,全倾转无人机总体装配模型096,Part::Feature,0,6,31,-337.0799106366686,164.77878640269174,275.7270146059329,-269.50265770256095,223.4588394965704,319.59689790249837,67.57725293410766,58.680053093878655,43.86988329656549
Part__Feature097,全倾转无人机总体装配模型097,Part::Feature,0,23,103,-399.30124113023857,36.52675212453588,226.4403923657102,653.647312936106,389.430282465296,328.5364031277638,1052.9485540663445,352.9035303407601,102.09601076205357
Part__Feature098,全倾转无人机总体装配模型098,Part::Feature,0,1,3,-283.45139952215624,206.89230078850568,295.78932504447016,-269.57258984998094,234.32545149665353,324.8567711984289,13.878809672175294,27.43315070814785,29.067446153958713
Part__Feature099,全倾转无人机总体装配模型099,Part::Feature,0,1,22,-260.20586819743096,148.27949807489654,209.26792376289603,-227.94704728970015,354.93807227925134,315.59078193908084,32.25882090773081,206.6585742043548,106.32285817618481
Part__Feature100,全倾转无人机总体装配模型100,Part::Feature,0,7,38,292.9633122649742,149.13845411985753,261.7837658561856,298.6413320484937,174.01361172940972,295.57099787873756,5.678019783519517,24.87515760955219,33.78723202255196
Part__Feature101,全倾转无人机总体装配模型101,Part::Feature,0,1,14,300.3000212922016,149.17184293988737,262.692816522024,300.66533012936526,151.5441491907213,265.0925482790636,0.3653088371636386,2.3723062508339297,2.3997317570396035
Part__Feature102,全倾转无人机总体装配模型102,Part::Feature,0,1,2,283.03304605498704,91.98205561555447,289.58893690620715,283.41357609369925,94.45320796017312,292.0886574864567,0.3805300387122088,2.4711523446186447,2.4997205802495728
Part__Feature103,全倾转无人机总体装配模型103,Part::Feature,0,4,19,285.7317186230282,89.3433930580236,260.81826422468356,298.9626160271451,154.08075880909487,293.9281660681042,13.230897404116888,64.73736575107128,33.10990184342063
Part__Feature104,全倾转无人机总体装配模型104,Part::Feature,0,9,56,277.95187926495566,61.194129013993006,287.63609110292316,289.77001766481584,118.4523066196006,319.58293801353193,11.818138399860175,57.2581776056076,31.94684691060877
Part__Feature105,全倾转无人机总体装配模型105,Part::Feature,0,9,46,-398.7568078926232,37.80483321555894,804.5852901693829,632.7146230337614,197.10114468724845,827.3881349487762,1031.4714309263845,159.2963114716895,22.80284477939324
Part__Feature106,全倾转无人机总体装配模型106,Part::Feature,0,17,59,-398.7568078926232,37.80483321555894,804.5852901693829,631.3308403959933,182.3245064606063,826.1286786829669,1030.0876482886165,144.51967324504736,21.543388513583977
Part__Feature107,全倾转无人机总体装配模型107,Part::Feature,0,8,18,448.0786705385495,441.0520088539624,952.7130545335049,538.6595535405911,495.8567159968268,1043.7523442606466,90.58088300204162,54.8047071428644,91.03928972714175
Part__Feature108,全倾转无人机总体装配模型108,Part::Feature,0,12,36,201.23866357505514,444.62434667265137,924.1000274796025,794.893725713266,561.7507053290819,1084.3316406562078,593.6550621382108,117.12635865643057,160.23161317660526
Part__Feature109,全倾转无人机总体装配模型109,Part::Feature,0,13,1088,409.46840316553215,72.18116762713977,870.8458645801625,464.8308987186478,155.33728068496873,916.194254518432,55.36249555311565,83.15611305782896,45.34838993826952
Part__Feature110,全倾转无人机总体装配模型110,Part::Feature,0,1,4,422.23789366016933,82.34501339677074,895.9874711764124,423.5925765026456,84.46061047989838,900.0638776687532,1.3546828424762793,2.115597083127639,4.076406492340766
Part__Feature111,全倾转无人机总体装配模型111,Part::Feature,0,20,205,398.52045018723413,66.12550093837295,810.2111096577688,524.297365757869,466.4136158780507,1022.7380211471018,125.77691557063486,400.2881149396777,212.52691148933297
Part__Feature112,全倾转无人机总体装配模型112,Part::Feature,0,1,12,433.22094708164,269.0562680388076,890.8923821879365,520.4770294864298,467.09490105372527,957.08644021669,87.25608240478982,198.03863301491765,66.19405802875349
Part__Feature113,全倾转无人机总体装配模型113,Part::Feature,0,1,4,422.6744049289808,166.75963525541437,924.2245534815055,512.7461418194022,431.42453392021315,1013.6701672066672,90.07173689042139,264.6648986647988,89.4456137251617
Part__Feature114,全倾转无人机总体装配模型114,Part::Feature,0,1,4,424.3427999729198,182.8087548022527,876.8996951114201,514.4145368633411,447.47365346705146,966.3453088365817,90.07173689042133,264.6648986647988,89.44561372516159
Part__Feature115,全倾转无人机总体装配模型115,Part::Feature,0,55,270,389.8927189242599,62.29832258299931,822.4327087632867,535.1540769401679,471.90464945323083,1041.9544202542706,145.261358015908,409.6063268702315,219.521711490984
Part__Feature116,全倾转无人机总体装配模型116,Part::Feature,0,1,8,473.5475579609414,77.91895140415076,887.4152672476206,474.4567649769092,83.8504642312827,893.4144753773395,0.9092070159678087,5.9315128271319395,5.999208129718909
Part__Feature117,全倾转无人机总体装配模型117,Part::Feature,0,1,8,527.5000508173943,419.2030350116804,1005.0558333408829,528.409257833362,425.1345478388123,1011.0550414706019,0.909207015967695,5.931512827131883,5.999208129718909
Part__Feature118,全倾转无人机总体装配模型118,Part::Feature,0,1,8,529.1684458613335,435.25215455851884,957.7309749707977,530.0776528773011,441.1836673856507,963.7301831005163,0.909207015967695,5.931512827131883,5.9992081297186814
Part__Feature119,全倾转无人机总体装配模型119,Part::Feature,0,1,4,394.38247563583957,107.54520305591258,842.6595627628126,396.5780845717079,109.36756872709597,843.4911764906101,2.1956089358683357,1.822365671183391,0.8316137277975031
Part__Feature120,全倾转无人机总体装配模型120,Part::Feature,0,2,6,448.11538442476893,447.0037201259329,958.998179357367,452.97839931569115,453.5378773411374,965.0623723274228,4.863014890922216,6.534157215204516,6.064192970055842
