object,label,face_index,radius_mm,center_x_mm,center_y_mm,center_z_mm,axis_x,axis_y,axis_z,bbox_xmin_mm,bbox_ymin_mm,bbox_zmin_mm,bbox_xmax_mm,bbox_ymax_mm,bbox_zmax_mm,bbox_xlen_mm,bbox_ylen_mm,bbox_zlen_mm
全倾转无人机总体装配模型,全倾转无人机总体装配模型173,1071,3.750000000000028,418.9368944918487,264.0316206739864,950.5835897961018,0.9884519687385893,-0.15066109701812933,-0.01624621008422314,496.4563456372174,247.66889300750606,945.4694030679527,502.0919894941857,253.3330779755671,952.8495035772046,5.635643856968329,5.6641849680610505,7.380100509251861
全倾转无人机总体装配模型,全倾转无人机总体装配模型173,1072,3.750000000000019,405.4487712777355,178.71059977210402,921.1734482727862,0.9884519687385893,-0.15066109701812933,-0.01624621008422314,482.9682224231041,162.34787210562368,916.0592615446371,488.6038662800724,168.01205707368467,923.439362053889,5.635643856968272,5.664184968060994,7.380100509251861
全倾转无人机总体装配模型,全倾转无人机总体装配模型173,1073,3.750000000000028,434.093412749901,365.4017611227073,932.668872949332,0.9884519687385893,-0.15066109701812933,-0.01624621008422314,511.61286389526964,349.13234881736736,927.5647486791843,516.636287648586,354.70321842428797,934.9347867304348,5.023423753316308,5.57086960692061,7.3700380512505035
全倾转无人机总体装配模型,全倾转无人机总体装配模型173,1074,3.750000000000028,432.4250177059619,349.3526415758688,979.9937313194174,0.9884519687385893,-0.15066109701812933,-0.01624621008422314,509.94446885133067,332.9899139093884,974.8795445912683,515.5801127082989,338.6540988774495,982.2596451005202,5.6356438569682155,5.664184968061079,7.380100509251861
全倾转无人机总体装配模型,全倾转无人机总体装配模型173,1075,3.750000000000028,445.91314092007514,434.6736624777512,1009.403872842733,0.9884519687385893,-0.15066109701812933,-0.01624621008422314,445.3448865350952,430.21316147570303,1005.5731367112376,450.9805303920636,435.8773464437641,1012.9532372204894,5.635643856968386,5.664184968061079,7.380100509251861
全倾转无人机总体装配模型,全倾转无人机总体装配模型173,1076,3.750000000000028,432.4250177059619,349.3526415758688,979.9937313194174,0.9884519687385893,-0.15066109701812933,-0.01624621008422314,431.85676332098205,344.89214057382065,976.162995187922,437.4924071779505,350.5563255418817,983.5430956971738,5.635643856968443,5.664184968061022,7.380100509251861
全倾转无人机总体装配模型,全倾转无人机总体装配模型173,1078,24.99999999999998,416.5961244850985,76.39187203385677,886.3391696022474,0.1478150489217885,0.9350248865959714,0.3223029208034583,391.8707489658035,68.36731226043749,886.7453248543528,474.29668633615734,450.4282545513148,1037.637040907422,82.42593737035384,382.06094229087734,150.89171605306922
全倾转无人机总体装配模型,全倾转无人机总体装配模型173,1080,3.750000000000028,432.4250177059619,349.3526415758688,979.9937313194174,0.9884519687385893,-0.15066109701812933,-0.01624621008422314,432.2998880776665,347.39565212476526,976.3631358912397,437.9355319346349,353.0598370928263,983.7432364004917,5.635643856968443,5.664184968061022,7.3801005092519745
全倾转无人机总体装配模型,全倾转无人机总体装配模型173,1081,3.750000000000028,445.91314092007514,434.6736624777512,1009.403872842733,0.9884519687385893,-0.15066109701812933,-0.01624621008422314,445.7880112917797,432.71667302664764,1005.7732774145554,451.423655148748,438.38085799470866,1013.1533779238073,5.635643856968329,5.664184968061022,7.380100509251861
全倾转无人机总体装配模型,全倾转无人机总体装配模型173,1083,3.750000000000028,432.4250177059619,349.3526415758688,979.9937313194174,0.9884519687385893,-0.15066109701812933,-0.01624621008422314,510.3875936080151,335.49342546033296,975.0796852945862,516.0232374649834,341.15761042839404,982.459785803838,5.635643856968272,5.664184968061079,7.380100509251861
全倾转无人机总体装配模型,全倾转无人机总体装配模型173,1085,3.000000000000022,474.47786928595787,439.89317462997496,1037.0093611788614,-0.9884519687385894,0.15066109701812924,0.016246210084223472,474.3777655833215,434.4103945466207,1037.4888836387452,504.57487349488093,442.6982492897629,1040.0089652437207,30.197107911559442,8.28785474314219,2.5200816049755304
全倾转无人机总体装配模型,全倾转无人机总体装配模型173,1088,3.000000000000005,452.89056769247367,464.0519139783633,976.8234515071733,0.03336790087878103,0.32098239093676906,-0.9464971674017091,448.59049575110663,451.66460163194694,976.8721901374258,453.33401283923905,466.8931694653579,1015.6514745618734,4.743517088132421,15.228567833410978,38.77928442444761
全倾转无人机总体装配模型,全倾转无人机总体装配模型173,1090,2.99999999999995,529.9898212540837,452.30034841094925,975.5562471206039,-0.03336790087878103,-0.32098239093676906,0.9464971674017091,529.0985503656977,439.0090694824241,975.507508490351,532.9881506637247,455.1054230707372,1014.3830425790827,3.8896002980269486,16.096353588313093,38.87553408873168
全倾转无人机总体装配模型,全倾转无人机总体装配模型173,1092,2.9999999999999862,477.4142445632906,468.1396250324106,953.7176104475109,0.9884519687385894,-0.15066109701812924,-0.016246210084223472,477.5143482659269,464.5827392946771,950.3907326427791,507.5224071334322,471.10538144597655,954.6845192099214,30.00805886750527,6.522642151299465,4.29378656714232
全倾转无人机总体装配模型,全倾转无人机总体装配模型173,1094,3.750000000000028,434.093412749901,365.4017611227073,932.668872949332,0.9884519687385893,-0.15066109701812933,-0.01624621008422314,512.0559886519541,351.6358603683119,927.7648893825021,517.0794124052704,357.2067299752326,935.1349274337526,5.023423753316365,5.570869606920667,7.3700380512505035
全倾转无人机总体装配模型,全倾转无人机总体装配模型173,1095,26.999999999999982,447.58439958240746,84.71133476078369,847.9918966036523,0.1478150489217885,0.9350248865959714,0.3223029208034583,448.48533290613454,80.64348514129414,822.4327087632867,532.9703795651961,464.5827392946772,975.5075084903514,84.4850466590616,383.93925415338305,153.07479972706471
全倾转无人机总体装配模型,全倾转无人机总体装配模型173,1096,3.750000000000019,405.4487712777355,178.71059977210402,921.1734482727862,0.9884519687385893,-0.15066109701812933,-0.01624621008422314,483.41134717978855,164.85138365656823,916.259402247955,489.0469910367568,170.51556862462928,923.6395027572069,5.635643856968272,5.6641849680610505,7.380100509251861
全倾转无人机总体装配模型,全倾转无人机总体装配模型173,1098,3.750000000000028,418.9368944918487,264.0316206739864,950.5835897961018,0.9884519687385893,-0.15066109701812933,-0.01624621008422314,496.8994703939018,250.17240455845064,945.6695437712706,502.5351142508701,255.8365895265117,953.0496442805224,5.635643856968272,5.6641849680610505,7.380100509251861
全倾转无人机总体装配模型,全倾转无人机总体装配模型173,1099,26.999999999999982,446.24968354725627,71.87203912331292,885.8517832997208,0.1478150489217885,0.9350248865959714,0.3223029208034583,445.3487502235292,62.29832258299931,885.4131356274466,531.6204611251483,439.0090694824241,1039.3614663785397,86.27171090161909,376.71074689942475,153.94833075109307
全倾转无人机总体装配模型,全倾转无人机总体装配模型173,1101,3.7500000000000235,391.9606480636223,93.38957887022164,891.7633067494706,0.9884519687385893,-0.15066109701812933,-0.01624621008422314,391.8355184353268,91.43258941911812,888.1327113212931,397.47116229229516,97.09677438717914,895.5128118305449,5.635643856968386,5.664184968061022,7.380100509251861
全倾转无人机总体装配模型,全倾转无人机总体装配模型173,1102,3.750000000000019,405.4487712777355,178.71059977210402,921.1734482727862,0.9884519687385893,-0.15066109701812933,-0.01624621008422314,405.32364164944,176.75361032100048,917.5428528446087,410.9592855064083,182.4177952890615,924.9229533538605,5.635643856968329,5.664184968061022,7.380100509251861
全倾转无人机总体装配模型,全倾转无人机总体装配模型173,1103,26.999999999999982,416.5961244850985,76.39187203385677,886.3391696022474,0.1478150489217885,0.9350248865959714,0.3223029208034583,389.8927189242599,67.72534747856399,886.7778172745213,474.37776558332166,451.66460163194705,1039.8526170015862,84.48504665906177,383.93925415338305,153.07479972706483
全倾转无人机总体装配模型,全倾转无人机总体装配模型173,1104,3.750000000000028,418.9368944918487,264.0316206739864,950.5835897961018,0.9884519687385893,-0.15066109701812933,-0.01624621008422314,418.8117648635532,262.0746312228829,946.9529943679242,424.44740872052165,267.7388161909439,954.3330948771761,5.635643856968443,5.664184968061022,7.380100509251861
全倾转无人机总体装配模型,全倾转无人机总体装配模型173,1106,3.750000000000019,407.1171663216746,194.75971931894247,873.8485899027008,0.9884519687385893,-0.15066109701812933,-0.01624621008422314,407.60425679703104,192.80272986783893,870.2179944745233,412.6276805503475,198.3735994747596,877.5880325257739,5.023423753316479,5.570869606920667,7.370038051250617
全倾转无人机总体装配模型,全倾转无人机总体装配模型173,1108,3.750000000000028,420.60528953578773,280.08074022082485,903.2587314260163,0.9884519687385893,-0.15066109701812933,-0.01624621008422314,421.09238001114426,278.1237507697213,899.6281359978387,426.1158037644606,283.694620376642,906.9981740490894,5.023423753316365,5.570869606920667,7.370038051250617
全倾转无人机总体装配模型,全倾转无人机总体装配模型173,1110,3.750000000000028,434.093412749901,365.4017611227073,932.668872949332,0.9884519687385893,-0.15066109701812933,-0.01624621008422314,434.58050322525736,363.44477167160375,929.0382775211544,439.60392697857384,369.0156412785244,936.4083155724051,5.023423753316479,5.570869606920667,7.370038051250617
全倾转无人机总体装配模型,全倾转无人机总体装配模型173,1111,26.999999999999982,417.93084052024983,89.23116767132755,848.479282906179,0.1478150489217885,0.9350248865959714,0.3223029208034583,391.24263736430794,93.299017290817,822.9238593863329,477.51434826592697,470.00976419024187,976.8721901374261,86.27171090161903,376.71074689942486,153.94833075109318
全倾转无人机总体装配模型,全倾转无人机总体装配模型173,1113,24.99999999999998,447.58439958240746,84.71133476078369,847.9918966036523,0.1478150489217885,0.9350248865959714,0.3223029208034583,448.41859710437694,80.94480733533041,824.325981936647,530.8445344747308,463.0057496262077,975.2176979897163,82.42593737035389,382.0609422908773,150.89171605306922
全倾转无人机总体装配模型,全倾转无人机总体装配模型173,1115,24.99999999999998,446.24968354725627,71.87203912331292,885.8517832997208,0.1478150489217885,0.9350248865959714,0.3223029208034583,445.4154860252866,63.00748677117069,885.4456280476151,529.4957421387492,438.3753667898644,1037.146169122933,84.08025611346255,375.3678800186937,151.70054107531803
全倾转无人机总体装配模型,全倾转无人机总体装配模型173,1123,3.0000000000000173,450.54689187023,450.2707987335352,962.0302758423949,-0.9884519687385894,0.15066109701812927,0.016246210084223053,448.12734191283784,447.17204411112453,958.998179357367,452.97839931569115,453.5378773411374,963.0519276580771,4.851057402853314,6.365833230012868,4.05374830071014
全倾转无人机总体装配模型,全倾转无人机总体装配模型173,1124,3.0000000000000173,450.54689187023,450.2707987335352,962.0302758423949,-0.9884519687385894,0.15066109701812927,0.016246210084223053,448.11538442476893,447.0037201259329,961.0086240267125,452.96644182762225,453.36955335594575,965.0623723274228,4.851057402853314,6.365833230012868,4.053748300710367
全倾转无人机总体装配模型,全倾转无人机总体装配模型173,1136,4.999999999999992,514.706241415541,77.46785669002314,813.4008787971122,-0.9884519687385896,0.15066109701812763,0.016246210084223472,464.5445677340024,72.79273225704323,808.4015386890133,514.7249725027073,85.6582818917381,812.6016746973063,50.180404768704875,12.865549634694872,4.200136008293043
全倾转无人机总体装配模型,全倾转无人机总体装配模型173,1138,4.999999999999992,514.6401071307957,76.83167819867911,815.2768108015495,-0.9884519687385896,0.15066109701812763,0.016246210084223472,464.4598361805597,71.88875084273585,813.6652961975324,514.4449837514726,82.58131354562647,820.7561698098732,49.985147570912886,10.692562702890626,7.090873612340829
全倾转无人机总体装配模型,全倾转无人机总体装配模型173,1146,5.999999999999992,281.250239278137,111.76638146851305,817.8635629453756,-0.9884519687385896,0.15066109701812763,0.016246210084223472,201.26487476308196,105.8348686413811,815.9297454205552,280.9836059828802,121.47507291145308,824.6799299711989,79.71873121979823,15.640204270071976,8.75018455064378
